model,stage,horizon,wip_nrmse,seed
current_mlp,reaction,1,0.1925224149007374,20260920
current_mlp,reaction,2,0.3025052782708576,20260920
current_mlp,reaction,3,0.3785372236958169,20260920
current_mlp,reaction,4,0.4458750462230773,20260920
current_mlp,reaction,5,0.4451231976787483,20260920
current_mlp,reaction,6,0.4463103658893041,20260920
window_mlp,reaction,1,0.2073093367446722,20260920
window_mlp,reaction,2,0.3436362326187502,20260920
window_mlp,reaction,3,0.4939761956420534,20260920
window_mlp,reaction,4,0.5679543239352569,20260920
window_mlp,reaction,5,0.5418260676360784,20260920
window_mlp,reaction,6,0.6254193456497977,20260920
data_tcn,reaction,1,0.1382331695761378,20260920
data_tcn,reaction,2,0.2268723009172402,20260920
data_tcn,reaction,3,0.288431660303773,20260920
data_tcn,reaction,4,0.3481079791423456,20260920
data_tcn,reaction,5,0.3650010661207448,20260920
data_tcn,reaction,6,0.4015758896850617,20260920
pi_tcn,reaction,1,0.138236324237979,20260920
pi_tcn,reaction,2,0.2261398526287443,20260920
pi_tcn,reaction,3,0.2827861992035739,20260920
pi_tcn,reaction,4,0.3321179294739658,20260920
pi_tcn,reaction,5,0.3501188945066115,20260920
pi_tcn,reaction,6,0.3805596304367432,20260920
current_mlp,pressing,1,0.1171583845714516,20260920
current_mlp,pressing,2,0.2027474094469059,20260920
current_mlp,pressing,3,0.3008765303277552,20260920
current_mlp,pressing,4,0.3570656505786275,20260920
current_mlp,pressing,5,0.3825855790618364,20260920
current_mlp,pressing,6,0.427676661399392,20260920
window_mlp,pressing,1,0.158854561291913,20260920
window_mlp,pressing,2,0.2261836156992391,20260920
window_mlp,pressing,3,0.3226862462183935,20260920
window_mlp,pressing,4,0.3817533013678185,20260920
window_mlp,pressing,5,0.3546966769939398,20260920
window_mlp,pressing,6,0.3725913738436337,20260920
data_tcn,pressing,1,0.1089383211430904,20260920
data_tcn,pressing,2,0.1782822164254157,20260920
data_tcn,pressing,3,0.2112248588017072,20260920
data_tcn,pressing,4,0.2278185557141608,20260920
data_tcn,pressing,5,0.2548969886982173,20260920
data_tcn,pressing,6,0.2890613398597162,20260920
pi_tcn,pressing,1,0.106214714574776,20260920
pi_tcn,pressing,2,0.1720542192919307,20260920
pi_tcn,pressing,3,0.2044162745177022,20260920
pi_tcn,pressing,4,0.231603974234019,20260920
pi_tcn,pressing,5,0.267940763242851,20260920
pi_tcn,pressing,6,0.3107306176478193,20260920
current_mlp,drying,1,0.1744825713565181,20260920
current_mlp,drying,2,0.2893662141608987,20260920
current_mlp,drying,3,0.3680447771453787,20260920
current_mlp,drying,4,0.4426345266049594,20260920
current_mlp,drying,5,0.4871169169477609,20260920
current_mlp,drying,6,0.5390073612112297,20260920
window_mlp,drying,1,0.1687878174908078,20260920
window_mlp,drying,2,0.2645188225011659,20260920
window_mlp,drying,3,0.3468037944575733,20260920
window_mlp,drying,4,0.4104440773422131,20260920
window_mlp,drying,5,0.457162119237874,20260920
window_mlp,drying,6,0.5043701121199918,20260920
data_tcn,drying,1,0.0914950975280114,20260920
data_tcn,drying,2,0.1465972952807833,20260920
data_tcn,drying,3,0.1895575224289348,20260920
data_tcn,drying,4,0.2438280558515806,20260920
data_tcn,drying,5,0.2839254053601875,20260920
data_tcn,drying,6,0.3078211682895296,20260920
pi_tcn,drying,1,0.0894663034327263,20260920
pi_tcn,drying,2,0.148452393797753,20260920
pi_tcn,drying,3,0.1938101471737928,20260920
pi_tcn,drying,4,0.2444464319446307,20260920
pi_tcn,drying,5,0.2797364764347784,20260920
pi_tcn,drying,6,0.3012267911625758,20260920
current_mlp,reaction,1,0.2199410917606997,20260921
current_mlp,reaction,2,0.3878071575221839,20260921
current_mlp,reaction,3,0.4348366248026429,20260921
current_mlp,reaction,4,0.5037288183967125,20260921
current_mlp,reaction,5,0.5363365760267174,20260921
current_mlp,reaction,6,0.5549651861131444,20260921
window_mlp,reaction,1,0.3457065284347378,20260921
window_mlp,reaction,2,0.5294883994495204,20260921
window_mlp,reaction,3,0.5484072398504211,20260921
window_mlp,reaction,4,0.6682414195881577,20260921
window_mlp,reaction,5,0.8059190404027674,20260921
window_mlp,reaction,6,0.917416644863464,20260921
data_tcn,reaction,1,0.2179984611752624,20260921
data_tcn,reaction,2,0.3476863368771083,20260921
data_tcn,reaction,3,0.3938471291714788,20260921
data_tcn,reaction,4,0.4786151756203823,20260921
data_tcn,reaction,5,0.5444678034770286,20260921
data_tcn,reaction,6,0.586367698260025,20260921
pi_tcn,reaction,1,0.1890709114363113,20260921
pi_tcn,reaction,2,0.3165570587220064,20260921
pi_tcn,reaction,3,0.3613135675217552,20260921
pi_tcn,reaction,4,0.436137471111604,20260921
pi_tcn,reaction,5,0.4755264394434192,20260921
pi_tcn,reaction,6,0.4783608275538084,20260921
current_mlp,pressing,1,0.1572550825373084,20260921
current_mlp,pressing,2,0.2598529687498972,20260921
current_mlp,pressing,3,0.3046207899586486,20260921
current_mlp,pressing,4,0.3455662929118482,20260921
current_mlp,pressing,5,0.3895040748052885,20260921
current_mlp,pressing,6,0.4249484933997173,20260921
window_mlp,pressing,1,0.1578378375411359,20260921
window_mlp,pressing,2,0.231441252275916,20260921
window_mlp,pressing,3,0.2939718894256883,20260921
window_mlp,pressing,4,0.3193776871976761,20260921
window_mlp,pressing,5,0.3473906414118011,20260921
window_mlp,pressing,6,0.3795336790049091,20260921
data_tcn,pressing,1,0.0933142349235326,20260921
data_tcn,pressing,2,0.1545381842407824,20260921
data_tcn,pressing,3,0.1735920137567634,20260921
data_tcn,pressing,4,0.2093468733109283,20260921
data_tcn,pressing,5,0.2348773061074173,20260921
data_tcn,pressing,6,0.2580393205159399,20260921
pi_tcn,pressing,1,0.0976082150361452,20260921
pi_tcn,pressing,2,0.1663943492095829,20260921
pi_tcn,pressing,3,0.1874641342740635,20260921
pi_tcn,pressing,4,0.2256240317777218,20260921
pi_tcn,pressing,5,0.2508855552355898,20260921
pi_tcn,pressing,6,0.2716059982215829,20260921
current_mlp,drying,1,0.1408721764939485,20260921
current_mlp,drying,2,0.2393385936035006,20260921
current_mlp,drying,3,0.3663149381502331,20260921
current_mlp,drying,4,0.4227748029238451,20260921
current_mlp,drying,5,0.4277135454216159,20260921
current_mlp,drying,6,0.4309407405494062,20260921
window_mlp,drying,1,0.1405978546344882,20260921
window_mlp,drying,2,0.2159565090477312,20260921
window_mlp,drying,3,0.2694030579088823,20260921
window_mlp,drying,4,0.3012752833387359,20260921
window_mlp,drying,5,0.3234572781315299,20260921
window_mlp,drying,6,0.3509156130647648,20260921
data_tcn,drying,1,0.1197453756031802,20260921
data_tcn,drying,2,0.1815284809604532,20260921
data_tcn,drying,3,0.2492983547457908,20260921
data_tcn,drying,4,0.27869226550734,20260921
data_tcn,drying,5,0.302222889896967,20260921
data_tcn,drying,6,0.3417390467423112,20260921
pi_tcn,drying,1,0.1031059387396443,20260921
pi_tcn,drying,2,0.1579842691494714,20260921
pi_tcn,drying,3,0.2102727640160002,20260921
pi_tcn,drying,4,0.2362599941002655,20260921
pi_tcn,drying,5,0.249902665117343,20260921
pi_tcn,drying,6,0.2759965629296814,20260921
current_mlp,reaction,1,0.1749311028756358,20260922
current_mlp,reaction,2,0.2836226643889665,20260922
current_mlp,reaction,3,0.4363693572482448,20260922
current_mlp,reaction,4,0.4827562784436449,20260922
current_mlp,reaction,5,0.5327984516031788,20260922
current_mlp,reaction,6,0.6174845707792911,20260922
window_mlp,reaction,1,0.2765660033609428,20260922
window_mlp,reaction,2,0.3858210423996999,20260922
window_mlp,reaction,3,0.4761426056377993,20260922
window_mlp,reaction,4,0.5182792299913204,20260922
window_mlp,reaction,5,0.5755540398992272,20260922
window_mlp,reaction,6,0.6352137675923336,20260922
data_tcn,reaction,1,0.152213222805292,20260922
data_tcn,reaction,2,0.2226323207768684,20260922
data_tcn,reaction,3,0.2846836081921604,20260922
data_tcn,reaction,4,0.3522769382617629,20260922
data_tcn,reaction,5,0.3699739678297087,20260922
data_tcn,reaction,6,0.3926904056943788,20260922
pi_tcn,reaction,1,0.1641611848876816,20260922
pi_tcn,reaction,2,0.254764931066519,20260922
pi_tcn,reaction,3,0.3181243342918564,20260922
pi_tcn,reaction,4,0.3888567441167045,20260922
pi_tcn,reaction,5,0.4113232786202649,20260922
pi_tcn,reaction,6,0.4398545130593925,20260922
current_mlp,pressing,1,0.1300663539999127,20260922
current_mlp,pressing,2,0.2065084821319838,20260922
current_mlp,pressing,3,0.2437382742409958,20260922
current_mlp,pressing,4,0.3042148873013207,20260922
current_mlp,pressing,5,0.3634090961524193,20260922
current_mlp,pressing,6,0.4030602660191161,20260922
window_mlp,pressing,1,0.1535453753109529,20260922
window_mlp,pressing,2,0.2048310659313754,20260922
window_mlp,pressing,3,0.229779912274303,20260922
window_mlp,pressing,4,0.2919740636602211,20260922
window_mlp,pressing,5,0.3004388058823629,20260922
window_mlp,pressing,6,0.3174619929049722,20260922
data_tcn,pressing,1,0.1028129269224115,20260922
data_tcn,pressing,2,0.174653272214818,20260922
data_tcn,pressing,3,0.1981078450576302,20260922
data_tcn,pressing,4,0.2279533811872078,20260922
data_tcn,pressing,5,0.2533667626557104,20260922
data_tcn,pressing,6,0.2798926743058257,20260922
pi_tcn,pressing,1,0.1018036074672792,20260922
pi_tcn,pressing,2,0.1715404676095529,20260922
pi_tcn,pressing,3,0.2043421521677733,20260922
pi_tcn,pressing,4,0.2479462282788136,20260922
pi_tcn,pressing,5,0.2754959984408268,20260922
pi_tcn,pressing,6,0.3102741286113403,20260922
current_mlp,drying,1,0.1428330682055544,20260922
current_mlp,drying,2,0.2510863656691566,20260922
current_mlp,drying,3,0.317224442596496,20260922
current_mlp,drying,4,0.3493282225467722,20260922
current_mlp,drying,5,0.3774421046436748,20260922
current_mlp,drying,6,0.403945220807641,20260922
window_mlp,drying,1,0.1283824131483129,20260922
window_mlp,drying,2,0.214264880163276,20260922
window_mlp,drying,3,0.239790687662153,20260922
window_mlp,drying,4,0.2808208632998206,20260922
window_mlp,drying,5,0.3040129156812641,20260922
window_mlp,drying,6,0.3665525912957695,20260922
data_tcn,drying,1,0.0847165515497803,20260922
data_tcn,drying,2,0.1365504217946615,20260922
data_tcn,drying,3,0.1870636969486217,20260922
data_tcn,drying,4,0.2196453996118695,20260922
data_tcn,drying,5,0.2369222298662706,20260922
data_tcn,drying,6,0.2431984276509144,20260922
pi_tcn,drying,1,0.0906326648052,20260922
pi_tcn,drying,2,0.1573605524727483,20260922
pi_tcn,drying,3,0.195459406742663,20260922
pi_tcn,drying,4,0.2210561511866611,20260922
pi_tcn,drying,5,0.2312640065218025,20260922
pi_tcn,drying,6,0.2336889534620634,20260922
