model,stage,nrmse_q,material_violation_pct,capacity_violation_pct,ood_physical_violation_pct,monotonicity_violation_pct,optimistic_error_p95,rollout_wip_nrmse,seed
current_mlp,reaction,0.2351633416713416,0.0,0.0,48.41269841269841,8.612580834803058,0.4367410691427641,0.310124983767979,20260920
window_mlp,reaction,0.3296754279301223,0.0,0.0,62.16931216931217,3.527336860670194,0.5558484120127793,0.419051463128798,20260920
data_tcn,reaction,0.1990780475646015,0.0,0.0,8.465608465608465,5.878894767783657,0.4308076777750441,0.2665809084926491,20260920
pi_tcn,reaction,0.1993527732748514,0.0,0.0,0.2645502645502645,3.7037037037037033,0.4190321601294522,0.2583256598299385,20260920
current_mlp,pressing,0.3203074210538915,0.0,0.0,46.2962962962963,4.350382128159906,0.4945097323828014,0.2847058254629646,20260920
window_mlp,pressing,0.3690267873927749,0.2645502645502645,0.2645502645502645,70.1058201058201,3.7330981775426224,0.7115526524532154,0.274116386631193,20260920
data_tcn,pressing,0.2575294309170768,0.5291005291005291,0.0,42.5925925925926,5.790711346266901,0.4750232457814449,0.2003991320042206,20260920
pi_tcn,pressing,0.2589567655701693,0.0,0.0,7.936507936507936,0.9994121105232217,0.40507008863773,0.2106230475526202,20260920
current_mlp,drying,0.3703750944571239,0.0,0.0,15.07936507936508,3.08641975308642,0.4580744379296067,0.3384064018867152,20260920
window_mlp,drying,0.3419677514659837,0.0,0.0,72.75132275132276,7.054673721340388,0.7604009514240094,0.2962776045692571,20260920
data_tcn,drying,0.2130163549100459,0.0,0.0,29.629629629629623,5.761316872427984,0.3892430876807581,0.1840619351285667,20260920
pi_tcn,drying,0.2104427186775335,0.0,0.0,4.497354497354497,2.2339800117577897,0.3537024798886634,0.1793906011651106,20260920
current_mlp,reaction,0.2633070655096891,0.0,0.0,53.43915343915344,9.641387419165197,0.4210455513818271,0.3903955990193444,20260921
window_mlp,reaction,0.3851651382677044,0.0,0.2645502645502645,76.45502645502646,3.027630805408583,0.9989011429127664,0.5693492561665859,20260921
data_tcn,reaction,0.2611493924803347,0.0,0.0,70.63492063492063,10.141093474426809,0.5321202987375075,0.3542760052137226,20260921
pi_tcn,reaction,0.2358138142370255,0.0,0.0,7.142857142857142,3.5861258083480307,0.4106465477036636,0.3164293124240338,20260921
current_mlp,pressing,0.3062476637370778,0.2645502645502645,0.0,9.25925925925926,4.291593180482069,0.5246242307821387,0.2552972223329533,20260921
window_mlp,pressing,0.3304732430412071,0.7936507936507936,0.2645502645502645,69.57671957671958,5.584950029394474,0.6697321993396209,0.2477189304938065,20260921
data_tcn,pressing,0.1989377765229939,0.7936507936507936,0.0,26.71957671957672,2.7336860670194003,0.3974008972846567,0.1726612761291652,20260921
pi_tcn,pressing,0.1995171589980353,0.7936507936507936,0.0,4.497354497354497,2.7630805408583186,0.3378249862301431,0.1742048934311497,20260921
current_mlp,drying,0.3310228402089566,0.0,0.0,38.095238095238095,3.409758965314521,0.5273747192504397,0.2686026099500189,20260921
window_mlp,drying,0.324812431707515,0.2645502645502645,0.5291005291005291,65.87301587301587,9.465020576131687,0.6771552251636112,0.2370544864045954,20260921
data_tcn,drying,0.271030766392364,0.0,0.0,57.93650793650794,5.408583186360964,0.5989835369378059,0.2214331777834556,20260921
pi_tcn,drying,0.2310875998100814,0.0,0.0,26.190476190476197,1.969429747207525,0.4782890803299619,0.1853224803909268,20260921
current_mlp,reaction,0.2506911229423506,0.0,0.0,27.77777777777778,8.201058201058201,0.5222598412882353,0.3541840139839293,20260922
window_mlp,reaction,0.3245621910124099,0.0,0.0,71.42857142857143,5.908289241622574,0.6630023106316472,0.4027059300341773,20260922
data_tcn,reaction,0.1974707955757354,0.0,0.0,28.306878306878307,7.907113462669018,0.4068057124958449,0.2442261588936737,20260922
pi_tcn,reaction,0.2123172974609312,0.0,0.0,1.5873015873015872,4.085831863609641,0.4577475434656493,0.270816547322885,20260922
current_mlp,pressing,0.2982825706527349,0.2645502645502645,0.0,11.64021164021164,3.93885949441505,0.3856720745043412,0.2583975112006448,20260922
window_mlp,pressing,0.3140778078501249,0.7936507936507936,0.0,70.37037037037037,3.3509700176366843,0.7045652202795619,0.229991952791093,20260922
data_tcn,pressing,0.2305555980039864,0.5291005291005291,0.0,32.804232804232804,5.790711346266901,0.3813737063855369,0.1921332460729479,20260922
pi_tcn,pressing,0.2411858092677794,0.5291005291005291,0.0,2.380952380952381,2.2927689594356258,0.3492355327914955,0.2058931070346512,20260922
current_mlp,drying,0.3185633613320786,0.0,0.0,1.058201058201058,2.7630805408583186,0.4760020582142099,0.2641519502627061,20260922
window_mlp,drying,0.3188252381153269,0.0,0.5291005291005291,65.87301587301587,7.231040564373897,0.6319458957144036,0.232691208289154,20260922
data_tcn,drying,0.1942386338638537,0.0,0.0,30.687830687830687,8.289241622574956,0.407715228959728,0.1528318500834251,20260922
pi_tcn,drying,0.1886203781070767,0.0,0.0,3.7037037037037033,2.9394473838918285,0.3223566098836467,0.1547676085334634,20260922
